"" "Molecule" "Index" "OverlapGene" "GATA2_pval" "mean_wo_replacement_pvals" "mean_w_replacement_pvals"
"100" "Index22" 0.325463743676223 "31" 0.0219608758519017 0.031591918648606 0.0230492773271137
"101" "Index23" 0.0158013544018059 "68" 0.0613270536358979 0.0329173074595164 0.0680672510135978
"102" "Index24" 0.553884711779449 "25" 0.0306643257849832 0.030775640778867 0.0316802987565055
"103" "Index25" 0.0136054421768707 "7" 0.039041047484047 0.0297327607544385 0.0394967138798673
"104" "Index26" 0.00227790432801822 "45" 0.0648548401165514 0.0313750535508977 0.0688384138540161
"105" "Index27" 0 "18" 0.0839762900184673 0.030515774251967 0.0859288096727515
"106" "Index28" 0.023936170212766 "14" 0.0402698141818736 0.0302237069505083 0.0410940070842883
"107" "Index29" 0.177272727272727 "4" 0.0311750029090947 0.0297111241743625 0.0312690840266715
"108" "Index3" 0.0118203309692671 "34" 0.0505521119559165 0.0311540894351018 0.0531235390914636
"109" "Index30" 0 "4" 0.0455510564574688 0.0299266462703415 0.0455985290884811
"110" "Index31" 0.86283185840708 "4" 0.0284405070281348 0.0294891880861045 0.0285332323882648
"111" "Index32" 0.0833333333333333 "4" 0.0323099350445044 0.0296355242254637 0.0323879202230494
"112" "Index33" 0.0238500851788756 "32" 0.0154495522082154 0.0308209620114455 0.0161676489059394
"113" "Index34" 0.317647058823529 "6" 0.0301073768810647 0.0300261083967334 0.030332781832414
"114" "Index35" 1.12871287128713 "8" 0.02783507191471 0.0299357376164639 0.0283310831853706
"115" "Index36" 0.161512027491409 "28" 0.0201800358484194 0.0307792548088346 0.021130611158701
"116" "Index37" 0.136968085106383 "5" 0.024288824391667 0.0295036523296143 0.0245271167651109
"117" "Index38" 0.0188087774294671 "10" 0.0382342117155201 0.0301037798921628 0.0390612650354471
"118" "Index39" 0.119565217391304 "4" 0.0319942249189982 0.0296819565475576 0.032086352598192
"119" "Index4" 0 "43" 0.0815660502298761 0.0311637293902861 0.085243580359462
"120" "Index40" 0.00282485875706215 "13" 0.0467208036480833 0.0300603120497867 0.0474947749240571
"121" "Index41" 0 "20" 0.0632857852869997 0.03044138291905 0.0652177547960523
"122" "Index42" 0.230769230769231 "16" 0.0227518016585397 0.0301348690804671 0.0233237972633978
"123" "Index43" 0.088 "5" 0.0324332375916681 0.0297133307957677 0.0326810174563796
"124" "Index44" 0.0465116279069767 "48" 0.0463978411923716 0.0323494335152389 0.0489674678538615
"125" "Index45" 0 "9" 0.013073107616042 0.030201147839273 0.0133143404918362
"126" "Index46" 0.43202416918429 "13" 0.0248069902650998 0.0305504300252524 0.0253916278023561
"127" "Index47" 0.273469387755102 "4" 0.0303614285400613 0.0294643948871925 0.0305842269730757
"128" "Index48" 0.176691729323308 "5" 0.0315266772580833 0.0295144182230809 0.0317704247464117
"129" "Index49" 0.00261096605744125 "25" 0.0551356924892843 0.0309824333131972 0.0574861657910071
"130" "Index5" 0 "46" 0.0814293960080166 0.0310366963224509 0.0863139665927069
"131" "Index50" 0 "32" 0.0754925885551987 0.0309286369377166 0.0765170278066232
"132" "Index51" 0.461426491994178 "10" 0.0256011350281984 0.0298817826922359 0.0260408620922932
"133" "Index52" 0.020746887966805 "5" 0.0360443678982472 0.0298627660324331 0.0362457340152395
"134" "Index53" 0.0769230769230769 "4" 0.034403679719627 0.0298082084202024 0.0344603623424756
"135" "Index54" 0.266949152542373 "4" 0.0303235264075916 0.0294718724737739 0.0305040652499183
"136" "Index55" 0.0704845814977974 "4" 0.033473077322584 0.029514916190004 0.0335666528948181
"137" "Index56" 0.00903614457831325 "12" 0.0433141461453395 0.0300597631192592 0.0444456953913656
"138" "Index57" 0.444444444444444 "8" 0.0297492478645445 0.0294993570384907 0.0302334837428746
"139" "Index58" 0.0395480225988701 "3" 0.0348060777009918 0.0295250512163774 0.0350809721922659
"140" "Index59" 1.54545454545455 "4" 0.0274773724538775 0.0296203858000861 0.0276653782188326
"141" "Index6" 0.633217993079585 "78" 0.0220021404176725 0.0347313177228001 0.0254965424245929
"142" "Index60" 0.37 "4" 0.0304252401494816 0.0299612139574557 0.0305233746511301
"143" "Index61" 0.0260869565217391 "4" 0.034403679719627 0.0295773747175173 0.0346754319675818
"144" "Index62" 0.0625 "4" 0.0327266833204547 0.029649929820998 0.0328335757881796
"145" "Index63" 0.00519480519480519 "4" 0.0189860406319842 0.0296582289933473 0.0191872470925469
"146" "Index64" 0.492307692307692 "2" 0.0289088194541047 0.0295147134065995 0.0290142047332571
"147" "Index65" 0.131147540983607 "2" 0.0309898203622967 0.0295170087720204 0.0311004827722049
"148" "Index66" 0.875 "2" 0.0284756479356325 0.0295532436449946 0.0285778475559167
"149" "Index67" 0.0075 "34" 0.0544138521169337 0.0313655778920883 0.057781997005796
"150" "Index68" 0.00248756218905473 "69" 0.0754069155157322 0.0344241808348323 0.0804589202750434
"151" "Index69" 0 "16" 0.0536715197637325 0.0301890602442897 0.0543888287574061
"152" "Index7" 0.110132158590308 "68" 0.0460655451081318 0.0324483265934671 0.0504938925258841
"153" "Index70" 0.197674418604651 "6" 0.0316071982314332 0.0298715762103793 0.0318568282785054
"154" "Index71" 0.00292397660818713 "12" 0.0437870464646504 0.0303235781944135 0.0446173038721167
"155" "Index72" 0.040650406504065 "5" 0.0355379440107941 0.0297864659264446 0.0356221318000482
"156" "Index73" 0.0712530712530713 "22" 0.0387315960222647 0.030269818316382 0.0400302099853727
"157" "Index74" 0.0314769975786925 "3" 0.0225693478793541 0.0296740282049334 0.0227043442460074
"158" "Index75" 0.136125654450262 "3" 0.032327761196532 0.0296144076794953 0.0325357072606467
"159" "Index76" 0.286549707602339 "11" 0.0308758177968838 0.0300318397539153 0.0313731766449932
"160" "Index77" 0.00994318181818182 "8" 0.0176370947429796 0.0298600442484248 0.0178572422242213
"161" "Index78" 0.192691029900332 "33" 0.0199225221290804 0.032046315664929 0.0206613118037128
"162" "Index79" 0.0504201680672269 "5" 0.0365328130038061 0.0300376656187985 0.0364823469913003
"163" "Index8" 0.0241545893719807 "49" 0.049681068178022 0.0329108742195404 0.0526750222211333
"164" "Index80" 0 "23" 0.0535139629907129 0.0306103994797343 0.0554159579484624
"165" "Index81" 0 "11" 0.0492515047373059 0.0302020694809474 0.050502310956231
"166" "Index82" 0.79136690647482 "6" 0.028543850298413 0.0298096794880652 0.0287747913128212
"167" "Index83" 0.00664451827242525 "9" 0.0434537515220506 0.0300690817978419 0.0439005168157086
"168" "Index84" 0.0430622009569378 "4" 0.0336040886913833 0.0296982715270733 0.0338322079699403
"169" "Index85" 0.213375796178344 "15" 0.0230129522756666 0.0301074391279721 0.0234591803339189
"170" "Index86" 0.127982646420824 "177" 0.054374269105586 0.0418532038086419 0.0693397984837691
"171" "Index87" 0.50314465408805 "3" 0.0293162105098144 0.0296681228294169 0.0295246838172215
"172" "Index88" 0.355889724310777 "3" 0.0263886332866201 0.0293815023927153 0.0265071809412675
"173" "Index89" 0.47093023255814 "3" 0.0293858254621293 0.0296320675472274 0.0295153422867144
"174" "Index9" 0 "45" 0.0766946479305568 0.031282496191785 0.0816392045788419
"175" "Index90" 0.173410404624277 "3" 0.0310229216998208 0.0297996642732413 0.0312578652994366
"176" "Index91" 0.14207650273224 "3" 0.032006600053589 0.0294465375195677 0.0321106373347534
"177" "Index92" 0.0472727272727273 "7" 0.0350356357249517 0.029824087087761 0.0355405303216064
"178" "Index93" 0.277049180327869 "29" 0.0210168559732011 0.0312520601718254 0.022352492155671
"179" "Index94" 0.00381679389312977 "5" 0.0433013497504378 0.0296641582418019 0.0435591364859719
"180" "Index95" 0 "22" 0.092465280533756 0.0304980097054053 0.0916042423986439
"181" "Index96" 0.0333333333333333 "8" 0.035587911070996 0.0295936962239383 0.0359500808122809
"182" "Index97" 0.420520231213873 "11" 0.0254698572537266 0.0305199799258388 0.0258763065030114
"183" "Index98" 0.836411609498681 "14" 0.0285581207428423 0.0302216869803038 0.0292669528807808
"184" "Index99" 0.446969696969697 "2" 0.0291930070383213 0.0295351069156101 0.0292931465482565
